Date,iddate,ANTPAL,CORTOW,EPTFUS,EUDMAC,EUMPER,EUMUND,LASBLO,LASCIN,LASNOC,LASXAN,MACCAL,MYOCAL,MYOCIL,MYOEVO,MYOOCC,MYOTHY,MYOVEL,MYOVOL,MYOYUM,NYCFEM,NYCMAC,PARHES,TADBRA,NOID,TotBatDet,NOISE,Species
8/31/2019,SN493093 2019-08-31,4,,47,,,,,3,10,3,,1,8,1,,,13,4,2,,,,18,80,196,65,13
9/1/2019,SN493093 2019-09-01,16,1,51,,,,7,11,24,5,,3,11,,,,56,13,3,1,,2,45,189,438,157,15
9/2/2019,SN493093 2019-09-02,7,2,34,,,,5,5,25,1,,,2,,,,9,1,1,4,,9,91,145,341,141,14
9/3/2019,SN493093 2019-09-03,7,2,55,,,,,10,24,7,,2,2,,,,13,4,2,2,,13,105,163,409,191,13
9/4/2019,SN493093 2019-09-04,4,2,51,,,,2,9,23,6,,1,7,1,,,15,4,1,,,5,73,76,280,112,15
9/5/2019,SN493093 2019-09-05,7,,27,,,,,,11,,,1,6,,,,23,2,3,,,3,60,72,215,135,10
9/6/2019,SN493093 2019-09-06,9,,50,,,,3,4,9,1,,,5,1,,,12,,3,,,2,28,52,179,126,12
9/7/2019,SN493093 2019-09-07,27,1,27,,,1,7,5,17,,,,9,,,,19,8,6,,1,7,27,83,245,119,14
9/8/2019,SN493093 2019-09-08,15,,20,,,,,9,27,5,,,4,,,,6,1,,3,,2,88,96,276,182,11
9/9/2019,SN493093 2019-09-09,8,,9,,,,6,14,34,3,,,1,,,,11,2,,1,,1,103,102,295,214,12
9/10/2019,SN493093 2019-09-10,4,,65,,,,7,6,9,3,,,3,,,,26,4,1,,1,5,45,108,287,118,13
9/11/2019,SN493093 2019-09-11,3,1,19,,,,,16,55,,,,,,,,4,1,,2,,,55,101,257,195,9
9/12/2019,SN493093 2019-09-12,1,,10,,,,,2,18,,,,,,,,5,4,,3,,4,13,31,91,97,9
9/13/2019,SN493093 2019-09-13,,,21,,,,3,12,42,,,,2,,,,4,,,2,,2,54,63,205,203,9
9/14/2019,SN493093 2019-09-14,11,,60,,,1,3,26,42,8,,1,8,,,,21,5,3,1,,14,142,196,542,246,15
9/15/2019,SN493093 2019-09-15,2,,5,,,1,9,20,67,2,,,1,,,,4,3,,4,,3,110,133,364,220,13
9/16/2019,SN493093 2019-09-16,1,,5,,,,,11,43,,,,2,,,,29,3,,,,1,74,75,244,198,9
9/17/2019,SN493093 2019-09-17,,1,11,,,,2,25,85,1,,,2,,,,7,3,,6,,1,97,116,357,188,12
9/18/2019,SN493093 2019-09-18,,,10,,,2,,15,31,,,,2,,,,4,1,1,,2,4,26,61,159,121,11
9/19/2019,SN493093 2019-09-19,,1,7,,,,,6,25,11,,,,,,,,,,6,2,18,39,54,169,118,9
9/20/2019,SN493093 2019-09-20,,,9,,,,,11,26,4,,2,2,,,,,,3,6,,,59,41,163,110,9
9/21/2019,SN493093 2019-09-21,2,,18,,,1,2,12,19,4,,,,,,,2,1,2,5,,4,38,40,150,132,13
9/22/2019,SN493093 2019-09-22,,1,15,,,1,2,35,63,1,,,,,,,2,,,1,,22,199,135,477,226,11
9/23/2019,SN493093 2019-09-23,,,33,,,1,,46,96,3,,,1,,1,,,1,,1,,3,167,184,537,637,11
9/24/2019,SN493093 2019-09-24,1,,3,,,,4,10,44,,,,,,,,2,1,,1,,28,65,39,198,282,10
